source,target
2,49
2,50
2,240
2,250
2,282
2,374
2,385
2,444
2,538
2,656
2,662
2,663
2,687
2,718
2,734
2,1066
2,1100
2,1178
2,1314
2,1471
2,1653
2,1687
2,1704
2,1712
2,1765
2,1862
2,1937
2,1987
2,2124
2,2151
2,2204
2,2249
2,2254
2,2317
2,2358
5,488
5,1620
5,1712
9,374
13,265
13,423
13,440
13,665
13,943
13,1017
13,1055
13,1065
13,1257
13,1496
13,1509
13,1525
13,1551
13,1557
13,1560
13,1606
13,1624
13,1625
13,1750
13,1840
13,1899
13,1900
13,1940
13,2007
13,2079
13,2103
13,2118
13,2226
13,2413
13,2417
13,2418
13,2478
13,2512
13,2558
13,2561
13,2621
13,2672
14,240
14,374
14,687
14,1471
14,2124
16,50
16,282
16,374
16,385
16,444
16,538
16,663
16,687
16,718
16,1066
16,1100
16,1471
16,1653
16,1687
16,1712
16,1937
16,1987
16,2249
16,2317
16,2358
18,1465
18,1744
18,1840
27,50
27,250
27,282
27,374
27,385
27,444
27,656
27,662
27,663
27,687
27,718
27,1066
27,1471
27,1937
27,2254
27,2317
27,2358
36,50
36,240
36,250
36,282
36,374
36,385
36,444
36,656
36,663
36,687
36,718
36,755
36,1066
36,1100
36,1333
36,1471
36,1653
36,1687
36,1937
36,2254
36,2317
36,2358
40,49
40,50
40,224
40,240
40,282
40,326
40,374
40,385
40,402
40,421
40,444
40,538
40,545
40,663
40,681
40,687
40,718
40,723
40,734
40,1066
40,1100
40,1267
40,1390
40,1424
40,1465
40,1470
40,1471
40,1493
40,1574
40,1653
40,1687
40,1809
40,1919
40,1937
40,1939
40,1972
40,1987
40,2090
40,2101
40,2124
40,2156
40,2243
40,2249
40,2317
40,2358
42,50
42,240
42,250
42,374
42,385
42,656
42,662
42,663
42,687
42,1471
42,1704
42,2124
42,2254
42,2317
42,2358
47,49
47,50
47,61
47,121
47,240
47,250
47,282
47,326
47,352
47,374
47,385
47,444
47,493
47,500
47,538
47,656
47,662
47,663
47,687
47,718
47,734
47,834
47,1047
47,1066
47,1100
47,1178
47,1314
47,1390
47,1401
47,1403
47,1471
47,1574
47,1653
47,1687
47,1712
47,1737
47,1765
47,1862
47,1937
47,1939
47,1972
47,1987
47,2124
47,2151
47,2249
47,2254
47,2261
47,2316
47,2317
47,2358
47,2605
49,50
49,61
49,75
