source,target
2314,8331
1605,8066
1086,1549
10749,9029
7465,7460
11122,8363
461,4020
5566,1655
11562,5587
7797,10110
4956,9736
5639,6170
5655,2922
3753,2212
2459,245
6652,209
10948,6650
8695,6509
5653,6160
570,319
116,9639
4108,1646
10527,6152
9180,5502
3444,11307
25,1748
9619,11054
5756,5347
11809,5233
6920,5965
1295,11543
4848,1399
2985,4780
10755,3749
7866,7053
2932,11327
1352,12198
1053,9945
643,11284
3540,5395
7955,6700
7725,4003
6331,7217
1514,10935
11080,3035
307,9135
1044,3447
11586,10394
7306,5879
2528,3814
5779,907
6067,8319
4446,4420
9887,7142
10337,7645
2008,5830
6465,5340
9606,634
6370,3166
1470,5740
7489,8935
3740,8118
11552,9382
2803,10964
6565,6851
10819,1690
6075,1072
5222,89
4449,11445
5500,7983
502,193
8197,5904
11567,8103
11002,6613
9446,3190
3116,3928
3472,6371
5095,5756
1856,2089
6267,5511
2253,4426
11355,7625
3628,6820
8260,5202
331,318
689,1307
5098,2559
2233,1842
11086,1215
6430,4299
4922,5156
11913,7531
7564,3758
10410,10267
4900,11275
3241,1316
4932,5824
1937,6673
4230,8289
1287,10907
3190,7384
9578,4835
4098,905
8844,614
6335,456
1182,1516
10871,3498
387,2406
7759,3620
7667,9711
9332,12109
11791,2002
9948,5433
10209,5979
4850,320
903,23
1688,11529
10457,7708
11938,10311
9369,625
2616,335
9541,8836
6060,261
6217,8980
7700,714
1683,942
9628,11586
11478,994
12055,4280
1100,11969
11594,5930
3321,5588
736,427
5582,9533
11864,1939
2434,3280
6832,7632
11451,990
9229,3482
5900,9202
7075,11796
8784,4736
6219,1954
3246,4166
6727,3082
447,1718
8493,10870
3990,7053
10402,2836
9865,9718
5046,12081
8118,9617
11954,7827
8541,1954
6550,3368
3378,519
1324,11734
5196,8510
9565,2380
4370,7908
29,5172
1554,7960
2404,6442
4937,9024
3233,8219
11509,7328
361,2140
3329,4680
8757,8300
2673,1949
2331,1390
10706,4576
7562,5345
680,3167
2383,2176
8397,10830
10437,7875
10862,4325
3363,10713
6280,7277
4787,5371
1995,288
11117,9580
5478,1627
98,4255
8880,9507
8286,2043
6637,5378
1502,1802
2157,682
3725,7887
4981,3819
6083,7824
1034,11638
8862,326
3317,8717
8423,9520
10430,6996
4076,1491
6642,2785
1625,3953
3677,11560
2734,5860
3837,1608
50,159
1742,2709
3167,8076
8416,11233
4127,842
11553,1820
8811,3976
10165,106
523,7539
829,12003
11897,12097
649,118
1951,3398
7991,2855
5391,7425
3763,7041
7731,1912
9007,6371
2990,6486
7917,4686
10648,8234
12226,4484
1311,4825
1212,4420
4544,179
11845,4899
9622,12186
9044,8383
5079,8829
3876,1955
4350,6551
6950,6023
11836,9825
