source,target
664,1295
1295,670
670,907
907,220
220,1575
1575,2250
2250,1450
1450,120
120,247
247,1767
1767,1419
1419,2277
2277,480
480,970
970,1983
1983,773
773,653
653,1639
1639,2230
2230,300
300,754
754,2230
2230,1639
1639,653
653,773
773,517
517,1983
1983,480
480,2277
2277,1419
1419,1767
1767,1102
1102,247
247,120
120,2250
2250,1575
1575,220
220,907
907,670
670,1295
1295,664
655,944
944,375
375,775
775,966
966,1255
1255,600
600,117
117,2245
2245,504
504,505
505,797
797,1934
1934,366
366,367
367,151
151,192
192,124
124,869
869,153
153,154
154,153
153,869
869,124
124,192
192,151
151,367
367,366
366,1934
1934,504
504,2245
2245,117
117,600
600,1255
1255,966
966,775
775,375
375,944
944,655
154,153
153,869
869,124
124,192
192,151
151,367
367,366
366,1934
1934,504
504,2245
2245,117
117,600
600,1255
1255,966
966,775
775,375
375,944
944,655
655,944
944,375
375,775
775,966
966,1255
1255,600
600,117
117,2245
2245,504
504,505
505,797
797,1934
1934,366
366,367
367,151
151,192
192,124
124,869
869,153
153,154
2062,86
86,1100
1100,2090
2090,989
989,1719
1719,1956
1956,535
535,724
724,1327
1327,303
303,958
958,2097
2097,1446
1446,1518
1518,1983
1983,773
773,1946
1946,1203
1203,517
517,1983
1983,1518
1518,1561
1561,1569
1569,43
43,1511
1511,1446
1446,2097
2097,958
958,1719
1719,2352
2352,989
989,1100
1100,2062
773,1946
1946,1203
1203,517
517,1983
1983,1518
1518,1561
1561,1569
1569,43
43,1511
1511,1446
1446,2097
2097,958
958,1719
1719,2352
2352,989
989,1100
1100,2062
2062,86
86,1100
1100,2090
2090,989
989,1719
1719,1956
1956,535
535,724
724,1327
1327,303
303,958
958,2097
2097,1446
1446,1518
1518,1983
1983,773
1205,1003
1003,2162
2162,920
920,777
777,1871
1871,857
857,479
479,1492
1492,2198
2198,218
218,958
958,2097
2097,1446
1446,1561
1561,1518
1518,1983
1983,1518
1518,398
398,1561
1561,1569
1569,42
42,141
141,1446
1446,864
864,2097
2097,303
303,1327
1327,724
724,534
534,218
218,2198
2198,479
479,857
857,1871
1871,777
777,920
920,2162
2162,1003
1003,1205
1983,1518
1518,398
398,1561
1561,1569
1569,42
42,141
141,1446
1446,864
864,2097
2097,303
303,1327
1327,724
724,534
534,218
218,2198
2198,479
479,857
857,1871
1871,777
777,920
920,2162
2162,1003
1003,1205
1205,1003
1003,2162
2162,920
920,777
777,1871
1871,857
857,479
479,1492
1492,2198
2198,218
218,958
958,2097
2097,1446
1446,1561
1561,1518
1518,1983
257,1829
1829,1015
1015,1556
1556,1077
1077,2346
2346,2356
2356,1459
1459,1949
1949,1321
1321,168
168,489
489,2029
2029,2385
2385,1420
1420,1022
1022,93
93,1499
257,1829
1829,1015
1015,1556
1556,1077
1077,2346
2346,2356
2356,1459
1459,1949
1949,1321
1321,168
168,489
489,2029
2029,2385
2385,1420
1420,1022
1022,93
93,1499
1499,93
93,1022
1022,1420
1420,2385
2385,481
481,168
168,1321
1321,1949
1949,1459
1459,2356
2356,2346
2346,1077
1077,1556
1556,1015
1015,1829
1829,257
2197,1507
1507,140
140,9
9,2151
