node,lat,lon,degree,K_core,clustering,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
0,28.88858,104.68845,2,2,0.0,0.0007358351729212656,0.0011563096054088779,0.1095437691439626,2.671945435972965e-06
1,44.0031899999999,125.357699999999,2,2,1.0,0.0007358351729212656,0.0,0.14925045302289824,0.008865944508099726
2,45.0623599999999,128.080749999999,6,5,0.8,0.002207505518763797,2.9762625198841295e-06,0.13372035816196004,0.006648164364510575
3,40.34879,124.09754,3,3,1.0,0.0011037527593818985,0.0,0.11707443142660234,0.0004639479321773315
4,45.8116399999999,130.90321,2,2,1.0,0.0007358351729212656,0.0,0.10639213997729675,1.930697412319785e-05
5,43.13183,89.46889,2,2,1.0,0.0007358351729212656,0.0,0.08416945373467112,5.4476206170827455e-09
6,24.931086,102.980402,2,2,0.0,0.0007358351729212656,0.0010628336718095052,0.07212992940926702,1.2338159565524443e-11
7,41.07947,113.19259,2,2,0.0,0.0007358351729212656,0.000366192035763315,0.1440916079096644,0.0026155698429978004
8,36.50175,106.14475,2,2,0.0,0.0007358351729212656,2.7082634262836426e-06,0.08071509176219041,9.448743888826425e-10
9,41.3392399999999,121.25677,3,3,1.0,0.0011037527593818985,0.0,0.13392461197339245,0.010846734350501076
10,29.2310899999999,106.43633,2,2,0.0,0.0007358351729212656,9.478921991992749e-07,0.09359181846355152,1.1932272563104677e-07
11,45.8850899999999,126.46489,6,5,0.6666666666666666,0.002207505518763797,0.00016969823278165986,0.15239697224558452,0.016186482782980963
12,46.535012,127.121236,2,2,1.0,0.0007358351729212656,0.0,0.1334446190102121,0.00236004838095226
13,18.8078,110.38129,6,4,0.6,0.002207505518763797,8.726626595802846e-07,0.07688608525925716,5.6274570620659155e-09
14,30.75433,108.400099999999,4,3,0.16666666666666666,0.0014716703458425313,0.0013734080257846355,0.14347550675675674,0.0008471230465928313
15,28.6854699999999,117.08028,2,2,0.0,0.0007358351729212656,1.3541317131418213e-07,0.12868708867951328,0.0007846716133683365
16,39.5794569999999,116.600066,2,2,0.0,0.0007358351729212656,0.00040139958145732135,0.15100838935496416,0.006522664361287193
17,32.0834499999999,108.04294,6,3,0.4,0.002207505518763797,0.002057608701061638,0.14724524622135543,0.0026879801060821222
18,18.2963799999999,109.49287,5,4,0.3,0.001839587932303164,0.0026909305403554555,0.090793693212186,1.6840142085715493e-07
19,28.490976,106.837819,2,2,0.0,0.0007358351729212656,0.0007363768256065221,0.08067436407349143,1.6953888434338243e-09
20,35.675907,106.378774,2,2,0.0,0.0007358351729212656,0.0003125171117182244,0.1101028923276351,8.305495995752617e-06
21,41.014175,119.055147,4,2,0.16666666666666666,0.0014716703458425313,0.008199518496191839,0.10330280110980199,6.24918980764367e-06
22,39.2663099999999,121.79777,2,2,1.0,0.0007358351729212656,0.0,0.1251438832358764,0.0009957602985420776
23,34.605201,108.947712,3,2,0.3333333333333333,0.0011037527593818985,4.126060824097303e-05,0.135906795339767,0.0006102691306843428
24,39.6359229999999,115.713393999999,2,2,0.0,0.0007358351729212656,0.0001426879395370113,0.0834971737527648,4.83531767600265e-09
25,33.3370699999999,115.82092,2,2,1.0,0.0007358351729212656,0.0,0.15934806824177758,0.009565903154088553
26,26.151526,104.724434,2,2,0.0,0.0007358351729212656,8.576167516564869e-07,0.08204539966191741,3.7158828848555504e-09
27,39.95046,116.12072,7,5,0.5238095238095238,0.0025754231052244297,0.0012065429673946998,0.17615035644847699,0.05610651166469993
28,42.29652,118.67836,2,2,0.0,0.0007358351729212656,0.000419683427257355,0.09841407777536389,2.803378065390305e-06
29,26.375696,117.806368,12,6,0.3939393939393939,0.004415011037527594,0.010580262216044582,0.14976856953934317,0.007046040185075186
30,26.24049,117.60729,5,4,0.8,0.001839587932303164,6.0250808904245474e-05,0.12882737700255947,0.00044341054349343703
31,23.1650269999999,112.894334,2,2,1.0,0.0007358351729212656,0.0,0.12359039650782103,0.00010004675810174877
32,25.834209,109.572989,3,3,0.6666666666666666,0.0011037527593818985,2.0322136981554564e-05,0.11453373224895706,3.427337478245883e-05
33,43.3716,123.720389999999,3,2,0.3333333333333333,0.0011037527593818985,1.4358789138934871e-05,0.13191613278974956,0.002757632089135621
34,28.94745,106.70234,2,2,0.0,0.0007358351729212656,7.899101659993957e-07,0.10627150453550203,6.396497299546971e-06
35,39.9727669999999,117.092322999999,2,2,1.0,0.0007358351729212656,0.0,0.16567109594050958,0.025992001038274263
36,42.05579,125.75984,5,3,0.4,0.001839587932303164,0.0007527618193355383,0.10620921417685905,6.594031838828631e-05
37,33.09919,107.96369,2,2,1.0,0.0007358351729212656,0.0,0.12393980848153215,0.00016372505032749836
38,36.29068,106.14834,2,2,0.0,0.0007358351729212656,0.0009309927030698224,0.09140435835351089,5.640662036280695e-08
39,40.9927399999999,112.29613,2,2,0.0,0.0007358351729212656,0.0008358505918781464,0.10542238771235746,4.805060367714515e-06
40,29.1046699999999,121.39568,6,5,0.7333333333333333,0.002207505518763797,0.00023817536226460409,0.12377049180327869,0.00041510582956033625
41,34.7499449999999,111.159677,7,6,0.8571428571428571,0.0025754231052244297,5.9113028187522054e-05,0.15000827860257188,0.011054101681073906
42,34.76066,111.233549999999,10,6,0.5777777777777777,0.003679175864606328,0.00022213022402818092,0.1560544295802951,0.018064463381121738
43,34.6872249999999,111.080848,7,6,0.8095238095238095,0.0025754231052244297,4.45686002229053e-05,0.1560275545350172,0.016014943739160688
44,47.098325,123.842772999999,5,4,0.6,0.001839587932303164,0.00011552696707267117,0.13430844492760785,0.001943373266211171
45,34.6650199999999,105.7075,2,2,0.0,0.0007358351729212656,0.00035534867114058453,0.1208483393357343,3.4434753741058455e-05
46,39.8234399999999,116.04262,2,2,0.0,0.0007358351729212656,0.0036067483679629846,0.14156987343090785,0.0010417868574521443
47,41.6135499999999,120.98074,3,3,1.0,0.0011037527593818985,0.0,0.11884564932225623,0.0014532261410180186
48,25.1826399999999,116.73772,3,3,1.0,0.0011037527593818985,0.0,0.1266719485482593,0.00048053787823603783
49,40.8252799999999,118.04749,6,4,0.5333333333333333,0.002207505518763797,0.000985169414359249,0.1271816948200833,0.0006877028496452462
50,40.838765,118.059211,6,4,0.6666666666666666,0.002207505518763797,3.764486162534263e-06,0.12721741165457523,0.000745057124394858
51,31.1533039999999,121.429489,8,4,0.32142857142857145,0.0029433406916850625,0.0020070731179769813,0.1556166265888011,0.005984591672897806
52,31.24982,121.45565,13,5,0.3076923076923077,0.004782928623988226,0.005007013301980783,0.15475715993850708,0.009045958055940375
53,31.19346,121.32074,18,6,0.3333333333333333,0.006622516556291391,0.001922084121410159,0.14636510500807753,0.009949082869124385
54,31.262512,121.402955,4,4,1.0,0.0014716703458425313,0.0,0.14131225954039722,0.0022467685916413766
55,37.773502,102.832899,2,2,0.0,0.0007358351729212656,0.0020491073245247284,0.1227808646158016,5.3743422297163205e-05
56,30.054717,120.853008,5,4,0.9,0.001839587932303164,0.00016895947737852242,0.14071964794201397,0.0020687832124837197
57,30.00131,120.856979999999,3,3,1.0,0.0011037527593818985,0.0,0.1267605633802817,0.0007478074206721223
58,25.69885,104.506631,2,2,0.0,0.0007358351729212656,0.00031393627081074667,0.09926228909502594,2.551679647405245e-07
59,40.7964199999999,118.48078,2,2,0.0,0.0007358351729212656,6.362840809676652e-06,0.09239869458797934,4.5652824794262074e-07
60,28.4906499999999,118.00664,20,6,0.25263157894736843,0.007358351729212656,0.0059747248303056895,0.15193694449102801,0.019672972259163195
61,40.60307,117.74119,8,4,0.39285714285714285,0.0029433406916850625,0.0012359261658395667,0.12721145745577084,0.0011122866796060018
62,44.67137,130.44745,4,2,0.16666666666666666,0.0014716703458425313,0.001091337008434898,0.11782045168841303,0.00016572799710255746
63,28.6310199999999,102.626949999999,2,2,0.0,0.0007358351729212656,2.7082634262836426e-07,0.10562723457173946,3.1240561861367937e-06
64,40.77422,118.17668,7,3,0.3333333333333333,0.0025754231052244297,0.003644937308812782,0.12745603751465417,0.0006503071532919446
65,39.1498599999999,113.17829,3,2,0.6666666666666666,0.0011037527593818985,7.160980756220519e-05,0.105287623474724,2.9807971361723772e-06
66,40.48675,115.27982,3,3,0.6666666666666666,0.0011037527593818985,5.5908748405176876e-05,0.1527824620573356,0.010876200309962964
67,41.03177,123.73587,5,4,0.7,0.001839587932303164,0.00012141055656619518,0.13226921018054408,0.004688527393536709
68,42.6540899999999,125.546049999999,3,2,0.6666666666666666,0.0011037527593818985,1.0761478171725645e-05,0.12917636994439427,0.001565426996351896
69,28.2267,116.62721,7,6,0.6666666666666666,0.0025754231052244297,1.3911132429759248e-05,0.14869522402757263,0.014726763286530564
70,47.687013,134.122413999999,2,2,0.0,0.0007358351729212656,5.416526852567285e-07,0.07500827905949885,1.3661139856853812e-09
71,44.11804,129.22531,3,2,0.0,0.0011037527593818985,0.00408148706446929,0.11787665886026542,0.00011965224405495028
72,35.5704709999999,112.939474,2,2,0.0,0.0007358351729212656,0.00031684916308724956,0.09687422033717076,1.0842365572921674e-06
73,37.89249,116.53079,4,4,1.0,0.0014716703458425313,0.0,0.14664940110067984,0.010601436755669456
74,40.556845,110.194833,2,2,0.0,0.0007358351729212656,0.0007671251993437974,0.12113379089045369,0.0001057779723252564
75,32.87431,120.34438,4,3,0.8333333333333334,0.0014716703458425313,1.2134524740543095e-06,0.1278998635358336,0.0002578210266290303
76,35.3842799999999,112.92393,2,2,0.0,0.0007358351729212656,5.739906402158057e-06,0.09687422033717076,2.1270467715461678e-06
77,41.6591379999999,117.817683,2,2,0.0,0.0007358351729212656,0.0007291780034896103,0.1063838114994716,6.248860983510536e-06
78,26.377544,111.337262,5,5,1.0,0.001839587932303164,0.0,0.12695595310383484,0.00026769832334205926
79,44.36679,126.89431,2,2,1.0,0.0007358351729212656,0.0,0.11604969898808762,7.462599792124325e-05
80,39.2661599999999,113.83024,2,2,0.0,0.0007358351729212656,4.627368981964079e-06,0.10116499795287899,1.7468856234511283e-06
81,40.0421899999999,119.84719,7,7,0.8571428571428571,0.0025754231052244297,1.297266039974302e-06,0.1498346196251378,0.08839556750784336
82,46.2002799999999,133.084139999999,1,1,0.0,0.0003679175864606328,0.0,0.08737302301658738,7.91823240048199e-08
83,35.2895299999999,115.09016,5,3,0.4,0.001839587932303164,0.0011032111066966417,0.1473889702293802,0.008398066932588336
84,43.3897899999999,121.64224,6,3,0.4,0.002207505518763797,0.0007832421420198813,0.12000529824716323,0.0009742369249496507
85,46.7398499999999,127.215999999999,4,2,0.5,0.0014716703458425313,0.0003565275073733673,0.13347083087802003,0.0015576502442707983
86,34.54216,118.771469999999,2,2,1.0,0.0007358351729212656,0.0,0.13364803068299158,0.0007070427039491858
87,45.294493,131.333332,3,3,0.6666666666666666,0.0011037527593818985,9.027544754278808e-08,0.10580404063996263,1.5150118357573453e-05
88,39.26312,113.90702,2,2,0.0,0.0007358351729212656,0.0003347860796309328,0.11136605752683766,1.145557972645008e-05
89,36.6513399999999,104.745549999999,2,1,0.0,0.0007358351729212656,0.0007358351729212657,0.08260895994164488,2.1202828125212667e-09
90,35.9958699999999,112.93008,2,2,1.0,0.0007358351729212656,0.0,0.08531609015004081,2.2178237971094198e-08
91,39.7242019999999,109.877497,3,2,0.6666666666666666,0.0011037527593818985,0.00017733000997755322,0.13654860587792012,0.0007082578869285128
92,30.17258,117.02857,3,2,0.6666666666666666,0.0011037527593818985,0.00023081555566513111,0.1518690283287702,0.006676945674009565
93,22.965333,114.039053,8,4,0.42857142857142855,0.0029433406916850625,0.000552953503493164,0.1397573015220074,0.002878252428666639
94,23.08874,113.85982,4,4,0.5,0.0014716703458425313,3.1145029402261886e-07,0.13778070664571399,0.0015775504161854206
95,37.45566,118.472359999999,1,1,0.0,0.0003679175864606328,0.0,0.10827822484264202,2.3938329630101423e-05
96,40.36063,120.4535,2,2,1.0,0.0007358351729212656,0.0,0.12991109836535705,0.004866082069295547
97,47.4107899999999,127.11293,2,2,1.0,0.0007358351729212656,0.0,0.1179175704989154,0.00012980882918045927
98,41.77094,126.044286,2,2,1.0,0.0007358351729212656,0.0,0.1061801703258067,3.314661409290923e-05
