st_id,st_tg,train,train_max_speed,st_id_state_num,st_tg_state_num,cluster_speed,cluster_across,cluster_overnight,cluster_distance
810,1408,4325,100,13,13,0,0,0,2
1408,2270,4325,100,13,13,0,0,0,2
1769,2215,4325,100,13,13,0,0,0,2
1676,2374,6225,100,17,17,0,0,0,2
1996,336,K7064,120,17,17,1,0,0,2
1996,336,K7061,120,17,17,1,0,0,2
2785,2615,C6157,350,15,15,4,0,0,2
2615,2785,D6196,260,15,15,3,0,0,2
1537,458,6241,100,17,17,0,0,0,2
2615,2785,C6152,350,15,15,4,0,0,2
2785,2615,C6153,350,15,15,4,0,0,2
2615,2785,C6154,350,15,15,4,0,0,2
458,1537,6242,100,17,17,0,0,0,2
336,1996,K7063,120,17,17,1,0,0,2
336,1996,K7062,120,17,17,1,0,0,2
458,1537,6008,100,17,17,0,0,0,2
1330,2669,K7506,120,13,13,1,0,0,2
1537,458,6007,100,17,17,0,0,0,2
1330,2669,4206,100,13,13,0,0,0,2
2759,2569,D6197,260,15,15,3,0,0,2
55,54,6420,100,4,4,0,0,0,2
2759,2758,C6184,350,15,15,4,0,0,2
54,55,6419,100,4,4,0,0,0,2
2725,2642,C5011,350,10,10,4,0,0,2
689,692,K961,120,0,0,1,0,0,2
1606,548,K7110,120,17,17,1,0,0,2
1456,1455,K189,120,13,13,1,0,0,2
1456,1455,G1228,350,13,13,4,0,0,2
689,692,2463,100,0,0,0,0,0,2
548,1606,6209,100,17,17,0,0,0,2
1455,1456,K1391,120,13,13,1,0,0,2
2642,2725,C5014,350,10,10,4,0,0,2
2725,2642,C5005,350,10,10,4,0,0,2
469,474,6968,100,17,17,0,0,0,2
447,1651,6437,100,4,21,0,1,0,2
1456,1455,2727,100,13,13,0,0,0,2
2569,2759,C6184,350,15,15,4,0,0,2
474,469,6229,100,17,17,0,0,0,2
2664,2663,C6183,350,15,15,4,0,0,2
2725,2642,C5019,350,10,10,4,0,0,2
474,469,6967,100,17,17,0,0,0,2
1455,1456,2123,100,13,13,0,0,0,2
1455,1456,K2045,120,13,13,1,0,0,2
55,54,6434,100,4,4,0,0,0,2
548,1606,K7231,120,17,17,1,0,0,2
1456,1455,2083,100,13,13,0,0,0,2
689,692,2462,100,0,0,0,0,0,2
692,689,2461,100,0,0,0,0,0,2
2664,2663,C6181,350,15,15,4,0,0,2
1455,1456,Z188,160,13,13,2,0,0,2
1456,1455,2623,100,13,13,0,0,0,2
1455,1456,Z185,160,13,13,2,0,0,2
1685,2336,K7527,120,5,5,1,0,0,2
1685,2336,K7530,120,5,5,1,0,0,2
2336,1685,K7528,120,5,5,1,0,0,2
2806,2668,C7662,350,12,12,4,0,0,2
1456,1455,K348,120,13,13,1,0,0,2
1456,1455,K345,120,13,13,1,0,0,2
1455,1456,K346,120,13,13,1,0,0,2
1455,1456,K930,120,13,13,1,0,0,2
2759,2569,C6181,350,15,15,4,0,0,2
2569,2759,D6196,260,15,15,3,0,0,2
2725,2642,C5013,350,10,10,4,0,0,2
1455,1456,2062,100,13,13,0,0,0,2
54,55,6433,100,4,4,0,0,0,2
2806,2668,C7670,350,12,12,4,0,0,2
2642,2725,C5008,350,10,10,4,0,0,2
692,689,6805,100,0,0,0,0,0,2
2209,1605,4471,100,4,4,0,0,0,2
692,689,6818,100,0,0,0,0,0,2
2642,2725,C5012,350,10,10,4,0,0,2
692,689,2672,100,0,0,0,0,0,2
692,689,6801,100,0,0,0,0,0,2
692,689,2464,100,0,0,0,0,0,2
1456,1455,K929,120,13,13,1,0,0,2
1605,2209,4472,100,4,4,0,0,0,2
2668,2806,C7633,350,12,12,4,0,0,2
2725,2642,C5001,350,10,10,4,0,0,2
1456,1455,K1229,120,13,13,1,0,0,2
1456,1455,2124,100,13,13,0,0,0,2
689,692,2671,100,0,0,0,0,0,2
1957,1959,K7382,120,13,13,1,0,0,2
2642,2725,C5006,350,10,10,4,0,0,2
1455,1456,K2048,120,13,13,1,0,0,2
1455,1456,K7321,120,13,13,1,0,0,2
548,1606,K7063,120,17,17,1,0,0,2
2806,2668,C7642,350,12,12,4,0,0,2
1456,1455,K7322,120,13,13,1,0,0,2
1456,1455,K7333,120,13,13,1,0,0,2
2663,2664,C6184,350,15,15,4,0,0,2
1456,1455,G1225,350,13,13,4,0,0,2
2725,2642,C5017,350,10,10,4,0,0,2
1606,548,K7036,120,17,17,1,0,0,2
2806,2668,C7626,350,12,12,4,0,0,2
1455,1456,2126,100,13,13,0,0,0,2
548,1606,K7092,120,17,17,1,0,0,2
2668,2806,C7611,350,12,12,4,0,0,2
2663,2664,C6182,350,15,15,4,0,0,2
1455,1456,G1227,350,13,13,4,0,0,2
922,921,7514,100,2,2,0,0,0,2
1456,1455,K188,120,13,13,1,0,0,2
2355,2356,7516,100,2,2,0,0,0,2
1455,1456,K7315,120,13,13,1,0,0,2
1455,1456,K347,120,13,13,1,0,0,2
2356,2355,7515,100,2,2,0,0,0,2
1959,1957,K7318,120,13,13,1,0,0,2
1456,1455,K7381,120,13,13,1,0,0,2
1455,1456,2096,100,13,13,0,0,0,2
2806,2668,C7616,350,12,12,4,0,0,2
1455,1456,G1226,350,13,13,4,0,0,2
689,692,K7801,120,0,0,1,0,0,2
692,689,K7802,120,0,0,1,0,0,2
1455,1456,K7382,120,13,13,1,0,0,2
2569,2759,C6112,350,15,15,4,0,0,2
1455,1456,K1394,120,13,13,1,0,0,2
2725,2642,C5007,350,10,10,4,0,0,2
