node,lat,lon,city,state,state_num,degree,Degree_Centrality,Clustering_Coefficients,Closeness_Centrality,Betweenness_Centrality,Eigenvector_Centrality,cluster_degree,cluster_state_degree,cluster_Degree_Centrality,cluster_state_Degree_Centrality,cluster_Clustering_Coefficients,cluster_state_Clustering_Coefficients,cluster_Closeness_Centrality,cluster_state_Closeness_Centrality,cluster_Betweenness_Centrality,cluster_state_Betweenness_Centrality,cluster_Eigenvector_Centrality,cluster_state_Eigenvector_Centrality
692,37.86048,112.58682,Taiyuan City,Shanxi,0,22,0.008094187,0.00915213,0.000795273,0.122011943,0.006988637,12,1,11,1,22,19,0,0,0,0,1,0
1351,37.69719,112.73118,Jinzhong City,Shanxi,0,15,0.005518764,0.003161453,0.000795854,0.090281439,0.000128059,17,14,16,4,25,24,0,0,0,0,1,1
698,37.42136,112.57032,Jinzhong City,Shanxi,0,6,0.002207506,0.015312419,0.000781358,0.052615731,3.67E-06,26,15,25,12,19,15,0,0,1,0,1,1
944,37.20661,112.16847,Jinzhong City,Shanxi,0,10,0.003679176,0.00835593,0.000764329,0.058996116,0.000203395,22,10,21,8,23,20,0,0,0,0,1,1
232,37.01847,111.91906,Jinzhong City,Shanxi,0,14,0.005150846,0.005738832,0.000753457,0.073234201,5.49E-06,18,7,17,5,24,22,0,0,0,0,1,1
1639,36.86171,111.77102,Jinzhong City,Shanxi,0,4,0.00147167,0.027624687,0.000746183,0.030089258,4.07E-08,28,27,27,27,15,5,0,0,1,1,1,1
2335,36.58583,111.71973,Huozhou,Shanxi,0,10,0.003679176,0.011850098,0.000737251,0.059915057,1.12E-07,22,10,21,8,21,17,0,1,0,0,1,1
1512,36.26214,111.67162,Yaodu,Shanxi,0,7,0.002575423,0.016662658,0.000730765,0.047688864,4.64E-09,25,13,24,11,19,14,0,1,1,1,1,1
127,36.08683,111.53682,Houma City,Shanxi,0,9,0.003311258,0.01095361,0.000730445,0.069477384,5.54E-07,23,11,22,9,21,18,0,1,0,0,1,1
259,35.61313,111.3585,Hejin,Shanxi,0,13,0.004782929,0.004220738,0.000731387,0.070340916,2.22E-05,19,8,18,6,25,23,0,1,0,0,1,1
1835,35.6127,110.99518,Weinan City,Shaanxi,0,5,0.001839588,0.003600903,0.000712916,0.002951602,2.54E-07,27,16,26,13,25,24,0,1,1,1,1,1
1480,35.58776,110.72605,Heyang County,Shaanxi,0,4,0.00147167,0,0.00070017,0.002532634,6.03E-06,28,27,27,27,27,27,0,1,1,1,1,1
1148,35.61045,111.21098,Weinan City,Shaanxi,0,4,0.00147167,0.007201806,0.000723057,0.002185027,9.57E-08,28,27,27,27,23,21,0,1,1,1,1,1
627,40.12011,113.30311,Xincheng District,Shaanxi,0,22,0.008094187,0.008241147,0.000704386,0.015364469,0.003818259,12,1,11,1,23,20,0,1,1,1,1,0
686,40.45209,114.06516,Baoji City,Shaanxi,0,7,0.002575423,0.036874257,0.000717314,0.002987323,0.001332319,25,13,24,11,12,2,0,1,1,1,1,1
2295,40.36565,113.73975,Maiji,Gansu,0,6,0.002207506,0.040638268,0.000712369,0.002126178,6.81E-05,26,15,25,12,11,1,0,1,1,1,1,1
2137,35.02654,110.99048,Lanzhou,Gansu,0,8,0.002943341,0.013273119,0.000733587,0.067238779,0.001065388,24,12,23,10,20,16,0,1,0,0,1,1
1407,34.87039,110.45385,Dingxi,Gansu,0,6,0.002207506,0.021790362,0.000736625,0.0400368,0.00056165,26,15,25,12,17,10,0,1,1,1,1,1
1805,37.35775,112.33507,Weicheng District,Shaanxi,0,5,0.001839588,0.01862916,0.000772488,0.029375195,3.22E-06,27,16,26,13,18,12,0,0,1,1,1,1
1352,37.05179,112.96924,Xinjiang County,Shanxi,0,4,0.00147167,0,0.000757663,0.007717073,3.81E-06,28,27,27,27,27,27,0,0,1,1,1,1
1365,36.85598,112.85395,Hedong District,Tianjin,0,4,0.00147167,0,0.000751783,0.0075081,3.04E-08,28,27,27,27,27,27,0,0,1,1,1,1
1446,36.75608,112.69907,Langfang City,Hebei,0,6,0.002207506,0.009441349,0.000750596,0.007403553,1.93E-10,26,15,25,12,22,19,0,0,1,1,1,1
2267,36.308625,113.125077,Xuanhua District,Hebei,0,9,0.003311258,0.004396925,0.000747898,0.008724857,3.83E-10,23,11,22,9,25,23,0,0,1,1,1,1
2268,36.18865,113.07044,Zhangjiakou City,Hebei,0,9,0.003311258,0.003193744,0.000747823,0.008686129,9.51E-08,23,11,22,9,25,24,0,0,1,1,1,1
2396,35.80092,112.9184,Zhangjiakou City,Hebei,0,8,0.002943341,0.003116433,0.000765443,0.009687368,4.06E-08,24,12,23,10,26,24,0,0,1,1,1,1
1195,35.47583,112.87313,Datong City,Shanxi,0,9,0.003311258,0.002337324,0.000784906,0.013582063,3.79E-06,23,11,22,9,26,25,0,0,1,1,1,1
689,37.891144,112.592351,Ulanqab City,Inner Mongolia,0,8,0.002943341,0.012460809,0.000793559,0.025714582,9.28E-06,24,12,23,10,21,17,0,0,1,1,1,1
1049,38.4197,112.74655,Jining,Inner Mongolia,0,13,0.004782929,0.005149044,0.000748591,0.027891219,0.000163694,19,8,18,6,24,22,0,0,1,1,1,1
465,38.71972,112.72815,Hohhot City,Inner Mongolia,0,15,0.005518764,0.004115242,0.000732402,0.026614612,3.56E-06,17,14,16,4,25,23,0,1,1,1,1,1
749,39.00689,112.31918,Hohhot City,Inner Mongolia,0,8,0.002943341,0.005049439,0.000702256,0.005347487,7.57E-08,24,12,23,10,24,22,0,1,1,1,1,1
1219,39.31598,112.4486,Hohhot City,Inner Mongolia,0,7,0.002575423,0.009771684,0.000691188,0.001578261,1.39E-06,25,13,24,11,22,19,0,1,1,1,1,1
877,39.51785,112.82605,Baotou City,Inner Mongolia,0,6,0.002207506,0.016969054,0.000687023,0.001021344,5.04E-07,26,15,25,12,19,13,0,1,1,1,1,1
1051,39.82854,113.0942,Baotou City,Inner Mongolia,0,8,0.002943341,0.009843655,0.000688971,0.00122276,4.27E-05,24,12,23,10,22,19,0,1,1,1,1,1
2112,36.38137,111.69949,Baotou City,Inner Mongolia,0,4,0.00147167,0.016401694,0.000732883,0.019981955,8.23E-10,28,27,27,27,19,14,0,1,1,1,1,1
691,37.7912,112.60939,Urad Front Banner,Inner Mongolia,0,35,0.012877116,0.009115755,0.000796137,0.16404223,0.015374655,7,0,7,0,22,19,0,0,0,0,1,0
2120,38.89442,112.43098,Bayannur,Inner Mongolia,0,4,0.00147167,0.030296632,0.000713644,0.001457598,3.55E-08,28,27,27,27,14,4,0,1,1,1,1,1
2044,36.50601,113.03502,Dengkou,Inner Mongolia,0,4,0.00147167,0.028324047,0.000748564,0.003659189,5.01E-12,28,27,27,27,14,5,0,0,1,1,1,1
2291,37.85667,113.5923,Sandaokan Street Office,Inner Mongolia,0,6,0.002207506,0,0.000804469,0.009583755,2.98E-05,26,15,25,12,27,27,0,0,1,1,1,1
1003,37.13507,112.07277,Donghai County,Jiangsu,0,4,0.00147167,0.013095256,0.000760363,0.022616958,6.23E-07,28,27,27,27,20,16,0,0,1,1,1,1
