node,lat,lon,geometry,city,state
692,37.86048,112.58682,POINT (112.58682 37.86048),Taiyuan City,Shanxi
1351,37.6971899999999,112.731179999999,POINT (112.731179999999 37.6971899999999),Jinzhong City,Shanxi
698,37.42136,112.57032,POINT (112.57032 37.42136),Jinzhong City,Shanxi
944,37.2066099999999,112.16847,POINT (112.16847 37.2066099999999),Jinzhong City,Shanxi
232,37.01847,111.91906,POINT (111.91906 37.01847),Jinzhong City,Shanxi
1639,36.86171,111.771019999999,POINT (111.771019999999 36.86171),Jinzhong City,Shanxi
2335,36.58583,111.71973,POINT (111.71973 36.58583),Huozhou,Shanxi
1512,36.26214,111.67162,POINT (111.67162 36.26214),,Shanxi
127,36.0868299999999,111.53682,POINT (111.53682 36.0868299999999),Yaodu,Shanxi
259,35.6131299999999,111.3585,POINT (111.3585 35.6131299999999),Houma City,Shanxi
1835,35.6126999999999,110.99518,POINT (110.99518 35.6126999999999),,Shanxi
1480,35.58776,110.72605,POINT (110.72605 35.58776),Hejin,Shanxi
2362,35.48393,110.44188,POINT (110.44188 35.48393),Weinan City,Shaanxi
503,35.19518,110.09119,POINT (110.09119 35.19518),Heyang County,Shaanxi
1009,34.77167,109.40295,POINT (109.40295 34.77167),Weinan City,Shaanxi
2058,34.27727,108.96283,POINT (108.96283 34.27727),Xincheng District,Shaanxi
802,34.37297,107.15321,POINT (107.15321 34.37297),Baoji City,Shaanxi
681,34.56586,105.8986,POINT (105.8986 34.56586),Maiji,Gansu
1704,34.7629299999999,105.33231,POINT (105.33231 34.7629299999999),,Gansu
2314,34.9523799999999,104.70544,POINT (104.70544 34.9523799999999),,Gansu
314,36.03493,103.8512,POINT (103.8512 36.03493),Lanzhou,Gansu
783,35.5921499999999,104.62502,POINT (104.62502 35.5921499999999),Dingxi,Gansu
542,34.3438799999999,108.73483,POINT (108.73483 34.3438799999999),Weicheng District,Shaanxi
1148,35.61045,111.21098,POINT (111.21098 35.61045),Xinjiang County,Shanxi
683,39.134968,117.209464999999,POINT (117.209464999999 39.134968),Hedong District,Tianjin
983,39.5149169999999,116.705679,POINT (116.705679 39.5149169999999),Langfang City,Hebei
390,39.896042,116.321152,POINT (116.321152 39.896042),Haidian District,
804,40.59803,115.05712,POINT (115.05712 40.59803),Xuanhua District,Hebei
1005,40.75361,114.88509,POINT (114.88509 40.75361),Zhangjiakou City,Hebei
1309,40.67114,114.41604,POINT (114.41604 40.67114),Zhangjiakou City,Hebei
627,40.1201099999999,113.30311,POINT (113.30311 40.1201099999999),Datong City,Shanxi
123,40.43518,113.16337,POINT (113.16337 40.43518),Ulanqab City,Inner Mongolia
2330,41.031426,113.099335999999,POINT (113.099335999999 41.031426),Jining,Inner Mongolia
529,40.8503419999999,111.765567,POINT (111.765567 40.8503419999999),Hohhot City,Inner Mongolia
530,40.8309,111.665809999999,POINT (111.665809999999 40.8309),Hohhot City,Inner Mongolia
826,40.70539,111.12615,POINT (111.12615 40.70539),Hohhot City,Inner Mongolia
2007,40.56459,110.53165,POINT (110.53165 40.56459),Baotou City,Inner Mongolia
381,40.5703419999999,110.024867,POINT (110.024867 40.5703419999999),Baotou City,Inner Mongolia
382,40.607224,109.838194,POINT (109.838194 40.607224),Baotou City,Inner Mongolia
158,40.73662,108.65224,POINT (108.65224 40.73662),Urad Front Banner,Inner Mongolia
202,40.911614,108.04987,POINT (108.04987 40.911614),,Inner Mongolia
131,40.7437899999999,107.42914,POINT (107.42914 40.7437899999999),Bayannur,Inner Mongolia
903,40.33308,107.02185,POINT (107.02185 40.33308),Dengkou,Inner Mongolia
160,39.67007,106.805229999999,POINT (106.805229999999 39.67007),,Inner Mongolia
161,39.45517,106.738530999999,POINT (106.738530999999 39.45517),三道坎街道办,Inner Mongolia
2140,34.4675599999999,118.58837,POINT (118.58837 34.4675599999999),Donghai County,Jiangsu
92,34.54216,118.771469999999,POINT (118.771469999999 34.54216),Donghai County,Jiangsu
1146,34.38078,118.34881,POINT (118.34881 34.38078),Xinyi City,Jiangsu
2168,34.3170599999999,117.95853,POINT (117.95853 34.3170599999999),Pizhou,Jiangsu
1030,34.268639,117.203785999999,POINT (117.203785999999 34.268639),Yunlong District,Jiangsu
1786,34.4167599999999,116.33026,POINT (116.33026 34.4167599999999),Suzhou City,Anhui
2030,34.39737,115.86519,POINT (115.86519 34.39737),Shangqiu City,Henan
561,34.4434499999999,115.65679,POINT (115.65679 34.4434499999999),Shangqiu City,Henan
752,34.45454,115.30516,POINT (115.30516 34.45454),Ningling County,Henan
1384,34.645,115.14027,POINT (115.14027 34.645),Minquan County,Henan
317,34.81476,114.81952,POINT (114.81952 34.81476),Lankao,Henan
997,34.7713299999999,114.35328,POINT (114.35328 34.7713299999999),Yuwangtai District,Henan
2175,34.7466099999999,113.659409999999,POINT (113.659409999999 34.7466099999999),Zhengzhou,Henan
1508,34.68551,112.43615,POINT (112.43615 34.68551),Xigong District,Henan
1580,34.4844799999999,109.493759999999,POINT (109.493759999999 34.4844799999999),Weinan City,Shaanxi
2020,34.3210199999999,107.59804,POINT (107.59804 34.3210199999999),Baoji City,Shaanxi
1254,34.268239,108.078768999999,POINT (108.078768999999 34.268239),Xianyang City,Shaanxi
1625,34.53567,110.24766,POINT (110.24766 34.53567),Tongguan County,Shaanxi
1633,34.50979,110.89815,POINT (110.89815 34.50979),Lingbao City,Henan
47,34.6872249999999,111.080848,POINT (111.080848 34.6872249999999),,Henan
1573,34.7533099999999,111.78598,POINT (111.78598 34.7533099999999),Mianchi,Henan
2441,34.3597699999999,116.69761,POINT (116.69761 34.3597699999999),Xiao County,Anhui
1256,30.2438299999999,120.182419999999,POINT (120.182419999999 30.2438299999999),Shangcheng District,Zhejiang
1046,30.5352539999999,119.958170999999,POINT (119.958170999999 30.5352539999999),Huzhou,Zhejiang
2245,30.990589,119.903996,POINT (119.903996 30.990589),Changxing County,Zhejiang
957,30.91206,119.409319999999,POINT (119.409319999999 30.91206),Xuancheng City,Anhui
806,30.94706,118.774069999999,POINT (118.774069999999 30.94706),Xuanzhou District,Anhui
1942,31.3472,118.39008,POINT (118.39008 31.3472),Jinghu District,Anhui
891,31.61431,117.89052,POINT (117.89052 31.61431),Chaohu City,Anhui
502,31.88566,117.31735,POINT (117.31735 31.88566),Yaohai District,Anhui
1554,32.631607,117.017482,POINT (117.017482 32.631607),Tianjia'an District,Anhui
2282,32.9143199999999,115.86843,POINT (115.86843 32.9143199999999),Yingdong District,Anhui
229,33.84763,115.79787,POINT (115.79787 33.84763),Bozhou City,Anhui
413,34.55512,110.140559999999,POINT (110.140559999999 34.55512),Huayin City,Shaanxi
46,34.76066,111.233549999999,POINT (111.233549999999 34.76066),Sanmenxia,Henan
148,34.7211799999999,111.912499999999,POINT (111.912499999999 34.7211799999999),Yima City,Henan
898,34.76024,112.98152,POINT (112.98152 34.76024),Zhengzhou,Henan
560,34.40825,115.704038999999,POINT (115.704038999999 34.40825),Shangqiu City,Henan
269,32.12876,114.08216,POINT (114.08216 32.12876),,Henan
1899,32.16581,114.55031,POINT (114.55031 32.16581),Loushan,Henan
1058,32.34282,114.74024,POINT (114.74024 32.34282),Xi,Henan
1620,32.11177,115.10272,POINT (115.10272 32.11177),,Henan
1122,31.6438899999999,114.87929,POINT (114.87929 31.6438899999999),Xin County,Henan
2433,31.1464099999999,114.963179999999,POINT (114.963179999999 31.1464099999999),Huanggang,Hubei
2445,30.58592,115.00506,POINT (115.00506 30.58592),Huangzhou District,Hubei
1521,30.43287,115.24239,POINT (115.24239 30.43287),Huanggang,Hubei
2023,30.24219,115.4462,POINT (115.4462 30.24219),Huanggang,Hubei
1377,29.96921,115.63827,POINT (115.63827 29.96921),Wuxue,Hubei
177,29.7105989999999,116.012415,POINT (116.012415 29.7105989999999),,Jiangxi
514,28.44295,115.96129,POINT (115.96129 28.44295),,Jiangxi
2105,25.81921,114.964429999999,POINT (114.964429999999 25.81921),Zhanggong District,Jiangxi
2477,24.1123699999999,115.23746,POINT (115.23746 24.1123699999999),Heyuan,Guangdong Province
