node,lat,lon,state,state_num,after,degree,max_degree_node,betweenness_centrality,closeness_centrality
2165,31.4425199999999,91.9917599999999,Tibet,30,"[59857, 59928, 59936, 59951, 62667, 62687, 62698, 62700, 63119, 63121, 63236, 63254, 63264, 63266, 63955, 64126]",32,2165,0.005139471504058468,0.10968965656402599
1094,29.62321,91.07034,Tibet,30,"[59856, 59950, 62666, 62699, 63120, 63235, 63265, 64091, 64124]",18,2165,0.003673759337753761,0.09889030380207386
2491,32.249896,91.66673,Tibet,30,"[63954, 64127]",4,2165,0.0,0.10965867828612927
2526,30.471598,91.1064039999999,Tibet,30,"[63956, 64125]",4,2165,0.0,0.09887231720625682
2768,29.396312,90.9200699999999,Tibet,30,"[64092, 64100]",4,2165,0.0029400907755735223,0.09001788434788369
2679,29.356852,90.7052999999999,Tibet,30,"[64093, 64099]",4,2165,0.002205880560708027,0.08260142835435344
2657,29.3358759999999,90.290428,Tibet,30,"[64094, 64098]",4,2165,0.0014711286931572746,0.07630973103487002
2682,29.316053,89.817597,Tibet,30,"[64095, 64097]",4,2165,0.0007358351729212657,0.07090496439099471
2684,29.22841,88.918557,Tibet,30,[64096],2,2165,0.0,0.06621193666260658
1560,22.53168,114.11666,Hong Kong,29,"[29672, 29854, 30135, 31615, 40262, 43328, 43348, 44086, 44104, 45487, 56192, 56650, 56844, 57758, 57805, 58815, 59877, 60939, 61006, 61708, 61871, 62136, 62927, 62956, 63225]",52,1560,0.0008165245274450472,0.1566390041493776
15,18.8078,110.38129,Hainan Province,28,"[17433, 17438, 17450, 17458, 17463, 17470, 17474, 17483, 17491, 17499, 17503, 17511, 17520, 17527, 17531, 17539, 17543, 17551, 17555, 17561, 17565, 17573, 17578, 17586, 17594, 17602, 17607, 17618, 17625, 17629, 17641, 17646, 17653, 17657, 17666, 17683, 17692, 17697, 17706, 17713, 17717, 17724, 17728, 17734, 17742, 17746, 17752, 17756]",96,15,8.726626595802848e-07,0.07689478597900812
2317,18.53539,110.032749999999,Hainan Province,28,"[17434, 17437, 17447, 17449, 17461, 17471, 17473, 17482, 17492, 17500, 17502, 17510, 17521, 17528, 17530, 17540, 17542, 17552, 17562, 17564, 17574, 17577, 17584, 17595, 17603, 17606, 17617, 17626, 17628, 17642, 17645, 17654, 17656, 17667, 17669, 17679, 17682, 17695, 17707, 17714, 17716, 17725, 17727, 17733, 17743, 17745, 17753, 17755]",96,15,0.000428514980623738,0.08327461012898679
1688,19.2404599999999,110.49126,Hainan Province,28,"[17432, 17439, 17444, 17452, 17457, 17469, 17475, 17484, 17490, 17498, 17505, 17512, 17519, 17532, 17538, 17544, 17550, 17556, 17560, 17566, 17572, 17587, 17593, 17608, 17613, 17619, 17624, 17631, 17639, 17647, 17652, 17658, 17665, 17670, 17677, 17690, 17698, 17705, 17712, 17718, 17722, 17729, 17735, 17741, 17747, 17751, 17757]",94,15,0.0007965679802556557,0.08327971320893464
