source,target,type,name,distance,type_num,node_type_num,node_tg_type_num,cluster_distance,cluster_type,cluster_across
0,383,road,None,5.09826783,1,1,1,0,1,0
0,3498,road,None,0.483956465,1,1,1,2,1,0
1,3024,road,D125,2.508433154,1,1,1,1,1,0
1,9753,road,D124,2.754998048,1,1,1,1,1,0
2,1874,road,D915Z,1.134992202,1,1,1,2,1,0
3,8760,road,D922,2.187135544,1,1,1,1,1,0
4,7956,road,None,0.371873711,1,1,1,2,1,0
4,9176,road,None,0.67756454,1,1,1,2,1,0
5,2191,road,D170,1.840664745,1,1,1,1,1,0
5,6992,road,None,0.069062962,1,1,1,2,1,0
6,382,road,D44,0.853408516,1,1,1,2,1,0
6,2740,road,D44,0.798214024,1,1,1,2,1,0
7,9188,road,N301,0.735635234,1,1,1,2,1,0
7,5087,road,D25,0.529536447,1,1,1,2,1,0
7,11994,crosslayer,None,0.29379716,4,1,4,2,4,1
8,8121,road,N3,1.227518384,1,1,1,2,1,0
8,4415,road,N3,2.172847751,1,1,1,1,1,0
9,192,road,D533,2.011276553,1,1,1,1,1,0
9,1404,road,D53,0.553649996,1,1,1,2,1,0
9,12092,crosslayer,None,0.424955489,4,1,4,2,4,1
10,6333,road,None,0.230782946,1,1,1,2,1,0
10,8565,road,A106,0.618344537,1,1,1,2,1,0
10,6727,road,None,0.351367085,1,1,1,2,1,0
11,1403,road,D101,0.290845419,1,1,1,2,1,0
12,10534,road,None,4.260041198,1,1,1,0,1,0
12,4888,road,D410,0.604303285,1,1,1,2,1,0
13,7330,road,D20,0.258102724,1,1,1,2,1,0
13,6498,road,D20,0.330805543,1,1,1,2,1,0
14,11578,road,D129,0.807880645,1,1,1,2,1,0
14,12111,crosslayer,None,0.907264926,4,1,4,2,4,1
15,2156,train,RER C,2.855998742,2,2,2,1,2,0
16,392,road,None,0.056865678,1,1,1,2,1,0
16,21,road,None,0.084990994,1,1,1,2,1,0
16,12030,crosslayer,None,0.816458839,4,1,4,2,4,1
16,12102,crosslayer,None,1.048444493,4,1,4,2,4,1
17,2303,road,D118,1.165671544,1,1,1,2,1,0
17,8219,road,D446,0.049042172,1,1,1,2,1,0
18,6138,road,None,0.317180241,1,1,1,2,1,0
18,1580,road,None,0.616688442,1,1,1,2,1,0
18,11712,crosslayer,None,0.602830956,4,1,4,2,4,1
18,11791,crosslayer,None,0.327731597,4,1,4,2,4,1
18,11894,crosslayer,None,0.112674563,4,1,4,2,4,1
18,12010,crosslayer,None,0.809645759,4,1,4,2,4,1
19,11265,road,None,0.244392324,1,1,1,2,1,0
19,5534,road,D39,0.35450407,1,1,1,2,1,0
20,11416,road,None,0.168183279,1,1,1,2,1,0
20,8140,road,A140,0.474732843,1,1,1,2,1,0
21,392,road,None,0.045600623,1,1,1,2,1,0
21,10064,road,None,0.309069206,1,1,1,2,1,0
21,12030,crosslayer,None,0.739668677,4,1,4,2,4,1
22,3933,road,D121,3.889417218,1,1,1,0,1,0
22,226,road,D321,0.952296748,1,1,1,2,1,0
23,6388,road,N20,0.125463952,1,1,1,2,1,0
24,1760,road,D82,1.920284003,1,1,1,1,1,0
24,6615,road,None,2.944990692,1,1,1,1,1,0
25,11433,road,None,0.411456273,1,1,1,2,1,0
26,11545,metro,M8,1.505509672,3,3,3,1,3,0
26,11651,metro,M8,1.343071287,3,3,3,2,3,0
27,5897,road,D88,1.037747301,1,1,1,2,1,0
27,8486,road,None,0.674856281,1,1,1,2,1,0
28,11378,train,RER C,3.454786912,2,2,2,1,2,0
28,11458,train,RER C,2.071548409,2,2,2,1,2,0
29,1447,road,None,0.417677038,1,1,1,2,1,0
30,8054,tram,T1,0.949169201,5,5,5,2,5,0
30,11336,tram,T1,0.599717254,5,5,5,2,5,0
31,11298,metro,M12,0.575857646,3,3,3,2,3,0
32,8701,road,None,0.960770474,1,1,1,2,1,0
32,9043,road,None,1.059100613,1,1,1,2,1,0
32,5797,road,None,0.606584795,1,1,1,2,1,0
32,11746,crosslayer,None,0.377190967,4,1,4,2,4,1
33,1202,road,None,0.262826062,1,1,1,2,1,0
33,4664,road,N186,0.199020427,1,1,1,2,1,0
34,9035,road,A12,0.602063742,1,1,1,2,1,0
34,35,road,A13,0.355491917,1,1,1,2,1,0
35,5723,road,A13,0.265778886,1,1,1,2,1,0
36,31,metro,M12,0.77751185,3,3,3,2,3,0
37,5749,road,D33,1.227049221,1,1,1,2,1,0
37,3306,road,None,0.948330048,1,1,1,2,1,0
38,409,road,D25,0.17530399,1,1,1,2,1,0
38,12200,crosslayer,None,0.631662659,4,1,4,2,4,1
39,4333,tram,T7,0.483394271,5,5,5,2,5,0
39,11371,tram,T7,0.833812063,5,5,5,2,5,0
40,4364,road,D446,0.900901936,1,1,1,2,1,0
40,991,road,None,2.147181172,1,1,1,1,1,0
41,2777,road,D211,0.450022993,1,1,1,2,1,0
42,5142,road,D403,0.408788097,1,1,1,2,1,0
43,6316,road,N6,1.031059916,1,1,1,2,1,0
43,12021,crosslayer,None,0.910324461,4,1,4,2,4,1
44,9628,road,D929,0.568408387,1,1,1,2,1,0
45,10841,road,None,0.329872633,1,1,1,2,1,0
46,9761,road,D58,1.850375586,1,1,1,1,1,0
47,3182,road,None,0.038863545,1,1,1,2,1,0
47,12006,crosslayer,None,0.815351461,4,1,4,2,4,1
47,12087,crosslayer,None,0.490638576,4,1,4,2,4,1
48,1180,metro,M5,0.688799931,3,3,3,2,3,0
49,7797,road,None,0.444069402,1,1,1,2,1,0
50,5944,road,D216,3.336741292,1,1,1,1,1,0
50,6749,road,D216,0.515363774,1,1,1,2,1,0
51,2026,road,None,0.479560123,1,1,1,2,1,0
52,5339,road,A6,0.641513011,1,1,1,2,1,0
53,7434,road,D182,0.091889548,1,1,1,2,1,0
53,8646,road,D182A,0.783589451,1,1,1,2,1,0
53,6951,road,None,0.652904796,1,1,1,2,1,0
54,4164,road,N20,0.078870238,1,1,1,2,1,0
55,5353,road,D118,0.251728315,1,1,1,2,1,0
56,8904,road,N6,0.697000714,1,1,1,2,1,0
56,10423,road,None,0.19546749,1,1,1,2,1,0
57,9469,road,N440,0.454549052,1,1,1,2,1,0
58,3431,road,D29,1.211703069,1,1,1,2,1,0
58,12045,crosslayer,None,0.052311414,4,1,4,2,4,1
59,7472,road,None,0.60635588,1,1,1,2,1,0
59,1374,road,None,0.941179354,1,1,1,2,1,0
59,11828,crosslayer,None,0.541290509,4,1,4,2,4,1
59,11829,crosslayer,None,0.072030115,4,1,4,2,4,1
60,1988,road,D120,0.506377723,1,1,1,2,1,0
60,7832,road,D120,0.126482699,1,1,1,2,1,0
61,7826,road,None,0.283244674,1,1,1,2,1,0
61,7947,road,None,0.778363371,1,1,1,2,1,0
62,9091,road,None,0.212800278,1,1,1,2,1,0
62,3962,road,None,0.279099312,1,1,1,2,1,0
62,12225,crosslayer,None,0.740024303,4,1,4,2,4,1
63,6550,road,D74A,0.058787907,1,1,1,2,1,0
63,12093,crosslayer,None,0.7771601,4,1,4,2,4,1
64,3579,road,None,0.70183796,1,1,1,2,1,0
65,5969,road,None,0.550975524,1,1,1,2,1,0
65,11908,crosslayer,None,0.366493773,4,1,4,2,4,1
65,11948,crosslayer,None,0.527322184,4,1,4,2,4,1
66,2809,road,D5,0.485167645,1,1,1,2,1,0
67,6338,road,D23,0.418567395,1,1,1,2,1,0
67,6656,road,D58,1.1302851,1,1,1,2,1,0
68,4248,road,N7,0.571194689,1,1,1,2,1,0
69,11430,train,RER C,1.904746357,2,2,2,1,2,0
70,10372,road,D34A,0.618379628,1,1,1,2,1,0
71,9466,road,None,3.750878831,1,1,1,0,1,0
71,10440,road,D148,1.318322943,1,1,1,2,1,0
72,4845,road,D18,1.383712485,1,1,1,1,1,0
73,8320,road,D63E2,2.574191317,1,1,1,1,1,0
74,2152,road,D18,0.186493118,1,1,1,2,1,0
74,2773,road,D62,3.401885636,1,1,1,1,1,0
75,1415,road,D90,1.305756304,1,1,1,2,1,0
76,6165,road,D74,0.085316828,1,1,1,2,1,0
76,7922,road,D74,2.300067207,1,1,1,1,1,0
77,6162,road,None,0.603731574,1,1,1,2,1,0
77,4008,road,None,0.363630638,1,1,1,2,1,0
78,2023,road,None,0.287515133,1,1,1,2,1,0
78,6983,road,None,0.301982949,1,1,1,2,1,0
78,12084,crosslayer,None,0.441458878,4,1,4,2,4,1
78,12138,crosslayer,None,0.950563932,4,1,4,2,4,1
79,8700,road,D10P,0.430252158,1,1,1,2,1,0
79,6950,road,D418,0.401950945,1,1,1,2,1,0
80,8330,road,None,0.257478328,1,1,1,2,1,0
