source,target,type,name,node_lat,node_lon,node_tg_lat,node_tg_lon,node_type,node_tg_type,distance,type_num,node_type_num,node_tg_type_num
0.0,383.0,road,None,2.395554,49.049663,2.350552,49.058447,road,road,5.098267830430079,1,1,1
0.0,3498.0,road,None,2.395554,49.049663,2.399521,49.051455,road,road,0.4839564649668386,1,1,1
1.0,3024.0,road,D125,1.656304,49.051879,1.677185,49.06042,road,road,2.508433154073043,1,1,1
1.0,9753.0,road,D124,1.656304,49.051879,1.667781,49.073846,road,road,2.754998047945897,1,1,1
2.0,1874.0,road,D915Z,2.091533,49.055887,2.086759,49.064915,road,road,1.1349922024844752,1,1,1
3.0,8760.0,road,D922,2.146181,49.05649,2.165615,49.059526,road,road,2.1871355442660803,1,1,1
4.0,7956.0,road,None,2.025542,49.055325,2.022624,49.05696,road,road,0.3718737106521098,1,1,1
4.0,9176.0,road,None,2.025542,49.055325,2.030549,49.0588,road,road,0.6775645403292311,1,1,1
5.0,2191.0,road,D170,2.276407,48.972907,2.291905,48.978728,road,road,1.8406647450194529,1,1,1
5.0,6992.0,road,None,2.276407,48.972907,2.275832,48.973142,road,road,0.0690629615506417,1,1,1
6.0,382.0,road,D44,2.205848,49.051158,2.210018,49.057606,road,road,0.8534085162421043,1,1,1
6.0,2740.0,road,D44,2.205848,49.051158,2.198672,49.051348,road,road,0.7982140235462657,1,1,1
7.0,9188.0,road,N301,2.369784,48.962756,2.364654,48.966937,road,road,0.7356352338976055,1,1,1
7.0,5087.0,road,D25,2.369784,48.962756,2.365472,48.964779,road,road,0.5295364467808855,1,1,1
7.0,11994.0,crosslayer,None,2.369784,48.962756,2.372154,48.963925,road,crosslayer,0.2937971601969917,4,1,4
8.0,8121.0,road,N3,2.702358,48.94653,2.691511,48.948584,road,road,1.227518383598634,1,1,1
8.0,4415.0,road,N3,2.702358,48.94653,2.721888,48.947183,road,road,2.172847751264964,1,1,1
9.0,192.0,road,D533,2.215284,48.755009,2.229193,48.766581,road,road,2.0112765525746665,1,1,1
9.0,1404.0,road,D53,2.215284,48.755009,2.210711,48.75698,road,road,0.5536499958031877,1,1,1
9.0,12092.0,crosslayer,None,2.215284,48.755009,2.215508,48.751191,road,crosslayer,0.4249554892951033,4,1,4
10.0,6333.0,road,None,2.350543,48.755834,2.350202,48.757883,road,road,0.2307829463670308,1,1,1
10.0,8565.0,road,A106,2.350543,48.755834,2.346662,48.75982,road,road,0.6183445374315598,1,1,1
10.0,6727.0,road,None,2.350543,48.755834,2.347925,48.757605,road,road,0.3513670850840554,1,1,1
11.0,1403.0,road,D101,2.48334,48.75655,2.481588,48.758494,road,road,0.2908454190156213,1,1,1
12.0,10534.0,road,None,2.443926,48.260794,2.475829,48.282026,road,road,4.2600411977801045,1,1,1
12.0,4888.0,road,D410,2.443926,48.260794,2.440864,48.265288,road,road,0.6043032853479124,1,1,1
13.0,7330.0,road,D20,1.598164,48.790723,1.600189,48.791858,road,road,0.2581027240742937,1,1,1
13.0,6498.0,road,D20,1.598164,48.790723,1.595233,48.791233,road,road,0.3308055432333626,1,1,1
14.0,11578.0,road,D129,2.064292,48.795255,2.057028,48.7954,road,road,0.8078806449949573,1,1,1
14.0,12111.0,crosslayer,None,2.064292,48.795255,2.071687,48.798705,road,crosslayer,0.9072649260405942,4,1,4
15.0,2156.0,train,RER C,2.146995,48.771844,2.13615,48.795143,train,train,2.855998741908245,2,2,2
16.0,392.0,road,None,2.291576,48.879309,2.291201,48.879657,road,road,0.0568656781697825,1,1,1
16.0,21.0,road,None,2.291576,48.879309,2.290831,48.87948,road,road,0.0849909942265687,1,1,1
16.0,12030.0,crosslayer,None,2.291576,48.879309,2.284372,48.877888,road,crosslayer,0.8164588388175903,4,1,4
16.0,12102.0,crosslayer,None,2.291576,48.879309,2.300263,48.87564,road,crosslayer,1.0484444930767165,4,1,4
17.0,2303.0,road,D118,2.195164,48.676121,2.203874,48.681959,road,road,1.1656715442490386,1,1,1
17.0,8219.0,road,D446,2.195164,48.676121,2.194894,48.67647,road,road,0.0490421717613831,1,1,1
18.0,6138.0,road,None,2.321658,48.879533,2.320226,48.882002,road,road,0.3171802407219566,1,1,1
18.0,1580.0,road,None,2.321658,48.879533,2.31641,48.881328,road,road,0.61668844191053,1,1,1
18.0,11712.0,crosslayer,None,2.321658,48.879533,2.327079,48.879598,road,crosslayer,0.6028309558705804,4,1,4
18.0,11791.0,crosslayer,None,2.321658,48.879533,2.322122,48.882446,road,crosslayer,0.3277315972999872,4,1,4
18.0,11894.0,crosslayer,None,2.321658,48.879533,2.322308,48.878755,road,crosslayer,0.1126745626076984,4,1,4
18.0,12010.0,crosslayer,None,2.321658,48.879533,2.327127,48.874722,road,crosslayer,0.8096457593057864,4,1,4
19.0,11265.0,road,None,2.18642,48.878699,2.18861,48.878885,road,road,0.244392323748216,1,1,1
19.0,5534.0,road,D39,2.18642,48.878699,2.184423,48.881186,road,road,0.3545040703236534,1,1,1
20.0,11416.0,road,None,2.847309,48.939743,2.84583,48.94006,road,road,0.168183279213622,1,1,1
20.0,8140.0,road,A140,2.847309,48.939743,2.850002,48.94306,road,road,0.4747328428799445,1,1,1
21.0,392.0,road,None,2.290831,48.87948,2.291201,48.879657,road,road,0.045600622663605,1,1,1
21.0,10064.0,road,None,2.290831,48.87948,2.288123,48.880107,road,road,0.3090692063676668,1,1,1
21.0,12030.0,crosslayer,None,2.290831,48.87948,2.284372,48.877888,road,crosslayer,0.7396686767406326,4,1,4
22.0,3933.0,road,D121,2.142981,48.878423,2.113996,48.898016,road,road,3.889417218137082,1,1,1
22.0,226.0,road,D321,2.142981,48.878423,2.151092,48.881174,road,road,0.9522967477489778,1,1,1
23.0,6388.0,road,N20,2.298275,48.714195,2.298411,48.715316,road,road,0.1254639521035739,1,1,1
24.0,1760.0,road,D82,2.059178,48.457236,2.073999,48.466106,road,road,1.920284003380992,1,1,1
24.0,6615.0,road,None,2.059178,48.457236,2.044644,48.479391,road,road,2.944990692415914,1,1,1
