node,lat,lon,city,city_num,state,state_num
692,37.86048,112.58682,Taiyuan City,0,Shanxi,0
1351,37.6971899999999,112.731179999999,Jinzhong City,1,Shanxi,0
698,37.42136,112.57032,Jinzhong City,1,Shanxi,0
944,37.2066099999999,112.16847,Jinzhong City,1,Shanxi,0
232,37.01847,111.91906,Jinzhong City,1,Shanxi,0
1639,36.86171,111.771019999999,Jinzhong City,1,Shanxi,0
2335,36.58583,111.71973,Huozhou,2,Shanxi,0
127,36.0868299999999,111.53682,Yaodu,3,Shanxi,0
259,35.6131299999999,111.3585,Houma City,4,Shanxi,0
1480,35.58776,110.72605,Hejin,5,Shanxi,0
2362,35.48393,110.44188,Weinan City,6,Shaanxi,1
503,35.19518,110.09119,Heyang County,7,Shaanxi,1
1009,34.77167,109.40295,Weinan City,6,Shaanxi,1
2058,34.27727,108.96283,Xincheng District,8,Shaanxi,1
802,34.37297,107.15321,Baoji City,9,Shaanxi,1
681,34.56586,105.8986,Maiji,10,Gansu,2
314,36.03493,103.8512,Lanzhou,11,Gansu,2
783,35.5921499999999,104.62502,Dingxi,12,Gansu,2
542,34.3438799999999,108.73483,Weicheng District,13,Shaanxi,1
1148,35.61045,111.21098,Xinjiang County,14,Shanxi,0
683,39.134968,117.209464999999,Hedong District,15,Tianjin,3
983,39.5149169999999,116.705679,Langfang City,16,Hebei,4
804,40.59803,115.05712,Xuanhua District,17,Hebei,4
1005,40.75361,114.88509,Zhangjiakou City,18,Hebei,4
1309,40.67114,114.41604,Zhangjiakou City,18,Hebei,4
627,40.1201099999999,113.30311,Datong City,19,Shanxi,0
123,40.43518,113.16337,Ulanqab City,20,Inner Mongolia,5
2330,41.031426,113.099335999999,Jining,21,Inner Mongolia,5
529,40.8503419999999,111.765567,Hohhot City,22,Inner Mongolia,5
530,40.8309,111.665809999999,Hohhot City,22,Inner Mongolia,5
826,40.70539,111.12615,Hohhot City,22,Inner Mongolia,5
2007,40.56459,110.53165,Baotou City,23,Inner Mongolia,5
381,40.5703419999999,110.024867,Baotou City,23,Inner Mongolia,5
382,40.607224,109.838194,Baotou City,23,Inner Mongolia,5
158,40.73662,108.65224,Urad Front Banner,24,Inner Mongolia,5
131,40.7437899999999,107.42914,Bayannur,25,Inner Mongolia,5
903,40.33308,107.02185,Dengkou,26,Inner Mongolia,5
161,39.45517,106.738530999999,三道坎街道办,27,Inner Mongolia,5
2140,34.4675599999999,118.58837,Donghai County,28,Jiangsu,6
92,34.54216,118.771469999999,Donghai County,28,Jiangsu,6
1146,34.38078,118.34881,Xinyi City,29,Jiangsu,6
2168,34.3170599999999,117.95853,Pizhou,30,Jiangsu,6
1030,34.268639,117.203785999999,Yunlong District,31,Jiangsu,6
1786,34.4167599999999,116.33026,Suzhou City,32,Anhui,7
2030,34.39737,115.86519,Shangqiu City,33,Henan,8
561,34.4434499999999,115.65679,Shangqiu City,33,Henan,8
752,34.45454,115.30516,Ningling County,34,Henan,8
1384,34.645,115.14027,Minquan County,35,Henan,8
317,34.81476,114.81952,Lankao,36,Henan,8
997,34.7713299999999,114.35328,Yuwangtai District,37,Henan,8
2175,34.7466099999999,113.659409999999,Zhengzhou,38,Henan,8
1508,34.68551,112.43615,Xigong District,39,Henan,8
1580,34.4844799999999,109.493759999999,Weinan City,6,Shaanxi,1
2020,34.3210199999999,107.59804,Baoji City,9,Shaanxi,1
1254,34.268239,108.078768999999,Xianyang City,40,Shaanxi,1
1625,34.53567,110.24766,Tongguan County,41,Shaanxi,1
1633,34.50979,110.89815,Lingbao City,42,Henan,8
1573,34.7533099999999,111.78598,Mianchi,43,Henan,8
2441,34.3597699999999,116.69761,Xiao County,44,Anhui,7
1256,30.2438299999999,120.182419999999,Shangcheng District,45,Zhejiang,9
1046,30.5352539999999,119.958170999999,Huzhou,46,Zhejiang,9
2245,30.990589,119.903996,Changxing County,47,Zhejiang,9
957,30.91206,119.409319999999,Xuancheng City,48,Anhui,7
806,30.94706,118.774069999999,Xuanzhou District,49,Anhui,7
1942,31.3472,118.39008,Jinghu District,50,Anhui,7
891,31.61431,117.89052,Chaohu City,51,Anhui,7
502,31.88566,117.31735,Yaohai District,52,Anhui,7
1554,32.631607,117.017482,Tianjia'an District,53,Anhui,7
2282,32.9143199999999,115.86843,Yingdong District,54,Anhui,7
229,33.84763,115.79787,Bozhou City,55,Anhui,7
413,34.55512,110.140559999999,Huayin City,56,Shaanxi,1
46,34.76066,111.233549999999,Sanmenxia,57,Henan,8
148,34.7211799999999,111.912499999999,Yima City,58,Henan,8
898,34.76024,112.98152,Zhengzhou,38,Henan,8
560,34.40825,115.704038999999,Shangqiu City,33,Henan,8
1899,32.16581,114.55031,Loushan,59,Henan,8
1058,32.34282,114.74024,Xi,60,Henan,8
1122,31.6438899999999,114.87929,Xin County,61,Henan,8
2433,31.1464099999999,114.963179999999,Huanggang,62,Hubei,10
2445,30.58592,115.00506,Huangzhou District,63,Hubei,10
1521,30.43287,115.24239,Huanggang,62,Hubei,10
2023,30.24219,115.4462,Huanggang,62,Hubei,10
1377,29.96921,115.63827,Wuxue,64,Hubei,10
2105,25.81921,114.964429999999,Zhanggong District,65,Jiangxi,11
2477,24.1123699999999,115.23746,Heyuan,66,Guangdong Province,12
1481,23.75944,114.683229999999,Heyuan,66,Guangdong Province,12
1066,23.1517799999999,114.41646,Huizhou,67,Guangdong Province,12
99,22.965333,114.039053,Dongguan,68,Guangdong Province,12
1561,22.52823,113.90842,Nanshan District,69,Guangdong Province,12
504,27.10535,115.02088,Ji'an City,70,Jiangxi,11
147,41.53311,121.23915,Yi County,71,Liaoning,13
11,41.3392399999999,121.25677,Yi County,71,Liaoning,13
2012,40.7545199999999,120.86776,Huludao City,72,Liaoning,13
328,40.62366,120.70228,Huludao City,72,Liaoning,13
1885,40.32204,120.35334,Suizhong,73,Liaoning,13
867,40.0004199999999,119.76746,Qinhuangdao City,74,Hebei,4
1833,39.96524,119.592339999999,Qinhuangdao City,74,Hebei,4
1603,39.74058,118.703509999999,Tangshan City,75,Hebei,4
558,39.623161,118.121626,Lubei District,76,Hebei,4
2357,38.93276,116.93015,Jinghai District,77,Tianjin,3
1474,38.3092899999999,116.87793,Cangzhou,78,Hebei,4
1040,37.4493799999999,116.28873,Dezhou City,79,Shandong,14
1517,36.67069,116.99117,Tianqiao District,80,Shandong,14
1498,36.18723,117.11078,Taishan District,81,Shandong,14
